smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,temporal_year_min,temporal_year_max,temporal_year_coverage_rate,temporal_year_source_count,temporal_year_sources,temporal_year_confidence_mean,year_min,year_max
CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,0.1,10.0,3,2021.0,2021.0,1.0,1,document_chembl_id,0.9499999999999998,2021.0,2021.0
CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
Nc1ccc2cncnc2c1,0.1,10.0,1,1996.0,1996.0,1.0,1,document_chembl_id,0.95,1996.0,1996.0
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,0.1,10.0,3,1995.0,1997.0,1.0,1,document_chembl_id,0.9499999999999998,1995.0,1997.0
COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3F)cc2)CC1,0.1,10.0,1,2022.0,2022.0,1.0,1,document_chembl_id,0.95,2022.0,2022.0
CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,0.1,10.0,1,2022.0,2022.0,1.0,1,document_chembl_id,0.95,2022.0,2022.0
CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,0.1,10.0,1,2021.0,2021.0,1.0,1,document_chembl_id,0.95,2021.0,2021.0
COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,2016.0,2016.0,1.0,1,document_chembl_id,0.95,2016.0,2016.0
COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.1,10.0,1,2022.0,2022.0,1.0,1,document_chembl_id,0.95,2022.0,2022.0
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.11,9.958607314841775,2,2022.0,2023.0,1.0,1,document_chembl_id,0.95,2022.0,2023.0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.11,9.958607314841775,1,2022.0,2022.0,1.0,1,document_chembl_id,0.95,2022.0,2022.0
COc1cc(N2CCC(N3CC(F)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.115,9.943028323846582,2,2023.0,2023.0,1.0,1,document_chembl_id,0.95,2023.0,2023.0
O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,0.12,9.920818753952375,1,2017.0,2017.0,1.0,1,document_chembl_id,0.95,2017.0,2017.0
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,0.12,9.920818753952375,6,1995.0,2010.0,1.0,1,document_chembl_id,0.9499999999999998,1995.0,2010.0
COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.12,9.920818753952375,1,2023.0,2023.0,1.0,1,document_chembl_id,0.95,2023.0,2023.0
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,0.13,9.886056647693163,1,2015.0,2015.0,1.0,1,document_chembl_id,0.95,2015.0,2015.0
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.13,9.886056647693163,5,1996.0,2009.0,1.0,1,document_chembl_id,0.95,1996.0,2009.0
COc1cc(N2CCC(N3CC[C@@H](N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.13,9.886056647693163,1,2023.0,2023.0,1.0,1,document_chembl_id,0.95,2023.0,2023.0
CC(C)(O)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.131,9.882728704344236,1,2022.0,2022.0,1.0,1,document_chembl_id,0.95,2022.0,2022.0
CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,0.135,9.872363747448347,2,2022.0,2022.0,1.0,1,document_chembl_id,0.95,2022.0,2022.0
